chr,start,end,gene_symbol,strand
chr1,1007125,1009687,RNF223,-
chr1,1846265,1848733,CALML6,+
chr1,2518188,2522908,FAM213B,+
chr1,6521210,6526255,TNFRSF25,-
chr1,11539294,11597640,DISP3,+
chr1,12884617,12891264,PRAMEF11,-
chr1,15479027,15546974,TMEM51,+
chr1,20878931,20881513,FAM43B,+
chr1,26503980,26516375,CNKSR1,+
chr1,29445936,29449013,TMEM200B,-
chr1,32799429,32801840,MARCKSL1,-
chr1,32827861,32829926,TSSK3,+
chr1,36787630,36789755,EVA1B,-
chr1,40144319,40157382,HPCAL4,-
chr1,41972035,42384378,HIVEP3,-
chr1,42895999,42921938,ZMYND12,-
chr1,43638000,43720029,CFAP57,+
chr1,45265896,45271667,PLK3,+
chr1,47489239,47516423,CYP4X1,+
chr1,48761043,48937880,SPATA6,-
chr1,50883222,50889119,DMRTA2,-
chr1,57463578,58716211,DAB1,-
chr1,60358979,60392470,CYP2J2,-
chr1,66797790,66840262,PDE4B,+
chr1,71318035,71513491,PTGER3,-
chr1,74491698,74663871,LRRIQ3,-
chr1,74663895,75010116,FPGT-TNNI3K,+
chr1,76384557,76398116,ASB17,-
chr1,84335056,84464833,TTLL7,-
chr1,97543298,98386615,DPYD,-
chr1,99729847,99775140,PLPPR4,+
chr1,102268122,102462790,OLFM3,-
chr1,103959702,104068133,LOC101928436,-
chr1,107683213,108027521,NTNG1,+
chr1,108113781,108231126,VAV3,-
chr1,110198697,110208123,GSTM4,+
chr1,111145775,111148975,KCNA2,-
chr1,111772332,111786062,CHI3L2,+
chr1,111889181,111895639,PIFO,+
chr1,119425665,119532179,TBX15,-
chr1,144614958,144830407,NBPF9,+
chr1,145586490,145589435,NUDT17,-
chr1,146655883,146697230,FMO5,-
chr1,149754244,149783928,HIST2H2BF,-
chr1,151020215,151023272,C1orf56,+
chr1,151778546,151798553,RORC,-
chr1,153586730,153588808,S100A14,-
chr1,153651163,153666468,NPR1,+
chr1,154669937,154842754,KCNN3,-
chr1,156262477,156265480,GLMP,-
chr1,156561557,156564091,NAXE,+
chr1,157483166,157522310,FCRL5,-
chr1,162602227,162750255,DDR2,+
chr1,163038763,163046592,RGS4,+
chr1,165370158,165414592,RXRG,-
chr1,169481191,169555769,F5,-
chr1,169659805,169680843,SELL,-
chr1,170633312,170708541,PRRX1,+
chr1,171810617,172381857,DNM3,+
chr1,179334854,179523870,AXDND1,+
chr1,182542768,182558394,RNASEL,-
chr1,183605181,183897685,RGL1,+
chr1,183615409,183622448,APOBEC4,-
chr1,184760158,184943718,FAM129A,-
chr1,185703682,186160085,HMCN1,+
chr1,186640943,186649559,PTGS2,-
chr1,186798031,186958113,PLA2G4A,+
chr1,190066796,190445140,BRINP3,-
chr1,197170591,197447585,CRB1,+
chr1,197886516,197899273,LHX9,+
chr1,200011952,200146552,NR5A2,+
chr1,204167287,204183220,GOLT1A,-
chr1,209757044,209787284,CAMK1G,+
chr1,209941832,209953002,TRAF3IP3,+
chr1,209952552,209958075,C1orf74,-
chr1,209958967,209979520,IRF6,-
chr1,210501595,210849638,HHAT,+
chr1,214161277,214214853,PROX1,+
chr1,216676587,216896814,ESRRG,-
chr1,217804665,218041493,SPATA17,+
chr1,221874761,221915518,DUSP10,-
chr1,232940637,232946092,MAP10,+
chr1,245318286,245866428,KIF26B,+
chr1,245912641,246670644,SMYD3,-
chr1,247197939,247242115,ZNF670,-
chr1,247273461,247275719,C1orf229,-
chr1,247301446,247335319,ZNF124,-
chr1,249200441,249213345,PGBD2,+
chr10,5994333,6020150,IL15RA,-
chr10,6469104,6622608,PRKCQ,-
chr10,15117473,15130775,ACBD7,-
chr10,16555741,16564004,C1QL3,-
chr10,16632614,16859453,RSU1,-
chr10,18429605,18830688,CACNB2,+
chr10,20105371,20578785,PLXDC2,+
chr10,23216952,23327452,ARMC3,+
chr10,23605519,23633772,C10orf67,-
chr10,25137535,25241573,PRTFDC1,-
chr10,25270907,25305085,ENKUR,-
chr10,26223001,26501465,MYO3A,+
chr10,28101092,28287979,ARMC4,-
chr10,28339921,28591995,MPP7,-
chr10,31133562,31320866,ZNF438,-
chr10,31607423,31818742,ZEB1,+
chr10,32094325,32217804,ARHGAP12,-
chr10,32735009,33171792,CCDC7,+
chr10,33189245,33247293,ITGB1,-
chr10,33466418,33623833,NRP1,-
chr10,35415768,35501886,CREM,+
chr10,38117692,38147012,ZNF248,-
chr10,38238499,38265583,ZNF25,-
chr10,45455218,45490172,RASSF4,+
chr10,45493145,45496358,C10orf25,-
chr10,46321039,46349325,AGAP4,-
chr10,48355023,48373866,ZNF488,+
chr10,50887683,50916956,C10orf53,+
chr10,52834233,54058110,PRKG1,+
chr10,54074040,54077417,DKK1,+
chr10,61005888,61122939,FAM13C,-
chr10,61786055,62493284,ANK3,-
chr10,63422718,63526091,C10orf107,+
chr10,69556426,69597937,DNAJC12,-
chr10,74653313,74692794,OIT3,+
chr10,90639943,90683259,STAMBPL1,+
chr10,90694830,90751154,ACTA2,-
chr10,93170041,93274586,HECTD2,+
chr10,94833231,94837641,CYP26A1,+
